,mean,std,min,median,max
food_natural_5,4.26,0.74,2.0,4.0,5.0
food_import_6,3.24,0.95,1.0,3.0,5.0
food_taste_7,4.43,0.76,2.0,5.0,5.0
food_make_import_8,3.16,1.07,1.0,3.0,5.0
brand_popular_9,4.06,0.89,1.0,4.0,5.0
packaging_10,0.67,0.47,0.0,1.0,1.0
packaging_11,1.34,0.5,1.0,1.0,3.0
packaging_12,3.85,0.89,1.0,4.0,5.0
packaging_13,3.71,0.99,1.0,4.0,5.0
packaging_14,4.18,0.85,1.0,4.0,5.0
packaging_15,4.08,0.93,1.0,4.0,5.0
packaging_16,3.71,1.06,1.0,4.0,5.0
packaging_17,3.68,0.98,1.0,4.0,5.0
packaging_18,4.38,0.69,2.0,4.0,5.0
packaging_19,3.8,0.92,1.0,4.0,5.0
opt1_buy,3.01,0.97,1.0,3.0,5.0
opt1_unique,3.64,0.98,1.0,4.0,5.0
opt1_premium,2.82,0.97,1.0,3.0,5.0
opt1_taste,2.82,1.03,1.0,3.0,5.0
opt1_personal,2.73,1.05,1.0,3.0,5.0
opt2_buy,3.34,1.02,1.0,3.0,5.0
opt2_unique,3.72,0.97,1.0,4.0,5.0
opt2_premium,3.12,1.03,1.0,3.0,5.0
opt2_taste,3.11,1.06,1.0,3.0,5.0
opt2_personal,3.03,1.09,1.0,3.0,5.0
opt3_buy,3.89,0.91,1.0,4.0,5.0
opt3_unique,4.05,0.82,1.0,4.0,5.0
opt3_premium,3.65,0.99,1.0,4.0,5.0
opt3_taste,3.66,0.92,1.0,4.0,5.0
opt3_personal,3.7,1.02,1.0,4.0,5.0
opt4_buy,3.32,1.04,1.0,3.0,5.0
opt4_unique,3.72,0.99,1.0,4.0,5.0
opt4_premium,3.2,1.02,1.0,3.0,5.0
opt4_taste,3.29,0.98,1.0,3.0,5.0
opt4_personal,3.21,1.07,1.0,3.0,5.0
opt5_buy,3.1,1.01,1.0,3.0,5.0
opt5_unique,3.45,0.98,1.0,3.0,5.0
opt5_premium,3.14,0.99,1.0,3.0,5.0
opt5_taste,3.08,0.97,1.0,3.0,5.0
opt5_personal,2.94,1.03,1.0,3.0,5.0
opt6_buy,3.32,1.06,1.0,3.0,5.0
opt6_unique,3.68,1.08,1.0,4.0,5.0
opt6_premium,3.24,1.02,1.0,3.0,5.0
opt6_taste,3.21,0.97,1.0,3.0,5.0
opt6_personal,3.12,1.05,1.0,3.0,5.0
opt7_buy,3.29,1.03,1.0,3.0,5.0
opt7_unique,3.55,1.02,1.0,4.0,5.0
opt7_premium,3.28,1.04,1.0,3.0,5.0
opt7_taste,3.24,1.02,1.0,3.0,5.0
opt7_personal,3.15,1.06,1.0,3.0,5.0
opt8_buy,3.37,0.98,1.0,3.0,5.0
opt8_unique,3.61,1.04,1.0,4.0,5.0
opt8_premium,3.26,0.94,1.0,3.0,5.0
opt8_taste,3.25,0.98,1.0,3.0,5.0
opt8_personal,3.23,1.02,1.0,3.0,5.0
opt9_buy,2.91,1.04,1.0,3.0,5.0
opt9_unique,3.15,1.05,1.0,3.0,5.0
opt9_premium,2.87,0.95,1.0,3.0,5.0
opt9_taste,2.98,1.01,1.0,3.0,5.0
opt9_personal,2.82,1.05,1.0,3.0,5.0
opt10_buy,2.68,0.98,1.0,3.0,5.0
opt10_unique,3.12,1.09,1.0,3.0,5.0
opt10_premium,2.85,0.98,1.0,3.0,5.0
opt10_taste,2.78,0.97,1.0,3.0,5.0
opt10_personal,2.67,0.99,1.0,3.0,5.0
age_,2.07,0.93,1.0,2.0,4.0
gender,2.2,0.48,1.0,2.0,3.0
status,3.01,0.86,1.0,3.0,4.0
mean_2,2.7,0.52,1.0,3.0,3.0
top3_opt1,0.26,0.44,0.0,0.0,1.0
top3_opt2,0.34,0.48,0.0,0.0,1.0
top3_opt3,0.68,0.47,0.0,1.0,1.0
top3_opt4,0.27,0.45,0.0,0.0,1.0
top3_opt5,0.21,0.41,0.0,0.0,1.0
top3_opt6,0.4,0.49,0.0,0.0,1.0
top3_opt7,0.28,0.45,0.0,0.0,1.0
top3_opt8,0.27,0.45,0.0,0.0,1.0
top3_opt9,0.16,0.36,0.0,0.0,1.0
top3_opt10,0.13,0.34,0.0,0.0,1.0
cat_thai,0.43,0.5,0.0,0.0,1.0
cat_inter,0.4,0.49,0.0,0.0,1.0
cat_mixed,0.37,0.48,0.0,0.0,1.0
price_premium,0.08,0.27,0.0,0.0,1.0
price_medium,0.76,0.43,0.0,1.0,1.0
price_low,0.18,0.39,0.0,0.0,1.0
pkg_none,0.37,0.48,0.0,0.0,1.0
pkg_quality,0.22,0.42,0.0,0.0,1.0
pkg_packaging,0.13,0.34,0.0,0.0,1.0
pkg_gift,0.07,0.25,0.0,0.0,1.0
pkg_other,0.24,0.43,0.0,0.0,1.0
target_buy,0.72,0.45,0.0,1.0,1.0
