feature,importance
packaging_13,0.10743000513291832
packaging_19,0.0740808295531414
packaging_17,0.0670210186678944
packaging_12,0.06231354654217102
food_make_import_8,0.05249110334453984
age_,0.04592067025961993
status,0.04438107695334863
food_taste_7,0.039461706815767265
brand_popular_9,0.03935960903745709
food_import_6,0.03916454709527731
packaging_15,0.03356718325299777
packaging_18,0.032793369235109344
cat_thai,0.030886193562430105
packaging_16,0.03083034863285818
packaging_14,0.028637477661740133
pkg_packaging,0.028325159668787875
food_natural_5,0.027883025523299465
mean_2,0.020099010601672785
price_medium,0.02008009707106624
gender,0.019235101594626044
cat_mixed,0.019072444445189716
packaging_10,0.01836827207839865
pkg_quality,0.017816741660839748
pkg_none,0.017232653592020742
packaging_11,0.016969218684906445
price_premium,0.016204320764191753
pkg_other,0.01453558503762591
cat_inter,0.014338008924646544
price_low,0.013245818089617745
pkg_gift,0.008255856515839563
